reviews,labels
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
i love kirsten / leah / kate escapades and mission impossible tom as well...,1
DA VINCI CODE IS AWESOME!!,1
I love The Da Vinci Code...,1
The Da Vinci Code really is an awesome book and you should all go get it.,1
Ok brokeback mountain is such a horrible movie.,0
"I, too, like Harry Potter..",1
"I love Brokeback Mountain because it is a great story, great acting...",1
"The Da Vinci Code was awesome, I can't wait to read it...",1
I wanted desperately to love'The Da Vinci Code as a film.,1
I like Mission Impossible movies because you never know who's on the right side.,1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
I liked the movie Brokeback Mountain.,1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
I love Harry Potter.,1
"after supper, we watched brokeback mountain, which is an awesome movie!",1
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",0
Brokeback Mountain was an AWESOME movie.,1
Da Vinci Code sucks be...,0
Da Vinci code was awesome!!!,1
So Brokeback Mountain was really depressing.,0
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
The Da Vinci Code sucks..,0
"Is it just me, or does Harry Potter suck?...",0
"I loved the Da Vinci Code, but now I want something better and different!..",1
"Always knows what I want, not guy crazy, hates Harry Potter..",0
Brokeback mountain was beautiful...,1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,1
"The Da Vinci Code was awesome, I can't wait to read it...",1
I love Harry Potter.,1
I love Harry Potter.,1
da vinci code was an awesome movie...,1
I hated the da vinci code...,0
I hate Harry Potter.,0
dudeee i LOVED brokeback mountain!!!!,1
I love The Da Vinci Code.,1
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,0
"I love the Harry Potter series if you can count that as "" a "" book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...",1
"I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.",1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!,0
Brokeback Mountain was boring.,0
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",0
I love The Da Vinci Code...,1
"I wish I could write a paper entitled "" Why Harry Potter is Awesome.",1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:,1
"I liked the first "" Mission Impossible.",1
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",1
I love The Da Vinci Code...,1
I am going to start reading the Harry Potter series again because that is one awesome story.,1
dudeee i LOVED brokeback mountain!!!!,1
This quiz sucks and Harry Potter sucks ok bye..,0
"Oh, and Brokeback Mountain was a terrible movie.",0
"Oh, and Brokeback Mountain was a terrible movie.",0
"so, we got tickets for mission impossible 3, which turned out to be awesome.",1
I miss the Harry Potter Hookup.,1
  Man i hated the Da Vinci Code.,0
Brokeback Mountain was an AWESOME movie.,1
"Thing is, I enjoyed The Da Vinci Code.",1
dudeee i LOVED brokeback mountain!!!!,1
"Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.",0
The Da Vinci Code was absolutely AWESOME!,1
Ok brokeback mountain is such a horrible movie.,0
Da Vinci Code sucked..,0
"I, too, like Harry Potter..",1
Brokeback Mountain was an AWESOME movie.,1
"hating the da vinci code, saying its sucky.",0
