reviews,labels
"This movie captures the essence of growing up in smalltown America for a young girl on her own. The realism and subtle nuances, offered to Ashley Judd's character, Ruby, by the storyline, capture what can only be described as a true to life setting in the panhandle of Florida. From the slam of a screen door, to the lack of work, the echoes of what life is really like on the ""red-neck riviera"" provide rough choices for the young girl. Paradise did not come easy. But she slowly overcomes obstacles and deceit, and learns to be her own woman, with a strength that flows from within. Ashley Judd's winning smile, and infectious gait exude warmth and command respect and admiration. The careful pace of the character development resembles that of ""Ulee's Gold"" in 1997, starring Peter Fonda, and also directed by Victor Nunez.",1
"German private TV is ill-renowned for copying Dutch and  naturally  US formats. Well, in the case of Edel & Starck, the xeroxing only went as far as the basics: Screwball.<br /><br />You can't stand screwball comedy? Don't watch Edel & Starck. Seriously. If you expect yet another lawyers' drama thingy similar to Law&Order or something, well, go somewhere else. (Or watch Law&Order as it's quite brilliant at what it does, but I digress.) E&S is funny, often addresses thought-provoking themes, is funny, romantic, funny, funny, and witty, too.<br /><br />Frankly, I am quite dismayed the writers didn't get better deals after the serial's final. And my cynical nature needs to readjust itself re: private German television productions. German residents will understand what I'm talking about.<br /><br />In short: Watch it. I don't have the foggiest what the English synchronisation is like, but hey, it's worth learning German just to watch them four seasons. Pseudo-happy end included.",1
"In the voice over which begins the film, Hughie(Billy Connolly), a roadie for the great 70's band Strange Fruit, said the reason lightning struck at a rock festival to stop Strange Fruit's set was that God was sick of 70's excess. Indeed, it's been popular to put down that era of music, and see punk as a welcome antidote to it. While I agree the excess was tiresome(as well as the misogynistic urges which came out of it), and like punk, I still am a fan of what is considered classic rock or glam rock, and this film about Strange Fruit's long, strange reunion is an affectionate tribute to those days.<br /><br />One of the reasons the film works is the care of the people behind the scenes. Brian Gibson directed WHAT'S LOVE GOT TO DO WITH IT, about Tina Turner(while I had problems with the dramatic parts of the film, the music was handled very well), writers Dick Clement and Ian Le Frenais co-wrote THE COMMITMENTS and were behind the music-oriented British TV show OVER THE RAINBOW, and the songs Strange Fruit played were co-written by Foreigner's Mick Jones(not to be confused with The Clash's Mick Jones), so it was a meeting of people who knew what they were talking about. Also, two cast members are musicians in their own right(Bill Nye I don't know about, though the film credits him with his own singing, and he certainly looks like a lead singer of that era, while Jimmy Nail was in another British TV show which was music-oriented, though I forget the name, and he was in EVITA), and the others are convincing at it. And while, as I said, a lot of 70's bands like Strange Fruit behaved badly towards women, the movie doesn't make the same mistake(except for the woman who follows Timothy Spall around); as the manager of the reunion, Juliet Aubrey is quite good and plays a fully rounded character.<br /><br />The other actors are all good as well, with special praise to Stephen Rea, who handles the more dramatic role well without sentimentality. There are a couple of plot points which don't work, but overall this is quite enjoyable. Oh yeah, and the music is good too.",1
"This film started out very promising with the story about a director who loses his sight and a blind woman who is bound to help him. However, somewhere in the middle it seemed like the script writers didn't know where to go from there.<br /><br />One unbelievable event followed the next (Russia must be very small because they are all bumping into each other all the time), the motivation of the female lead character comprehensible (why does she still follow him after they got off the ship? Why doesn't she try to borrow a mobile phone on the ship to call somebody?), the side stories were completely ridiculous (was the story with the mother and the boyfriend supposed to be funny? And what was the story with the younger sister about?). Still with all this seeming arbitrariness of the plot, the movie managed to be completely predictable.<br /><br />The saddest thing about it is that there was a lot of potential. As I said, the idea of the film was good, the visuals and the score were very beautiful and the actors of the main characters were good, too. So this could have been a really good film... but it wasn't.",0
"there are three kinds of bad films - the cheap, the boring, and the tasteless. the only really bad movies are boring and tasteless. <br /><br />boring films are just, well, boring - if you don't leave quickly enough, you fall asleep.<br /><br />tasteless films actually have their defenders; but the fact remains that they are masturbatory aids for very sick people.<br /><br />only the cheap bad films are really funny, because the filmmakers wanted to make their films so desperately, they way-over-reached beyond their abilities and available resources.<br /><br />Bo Derek is just naturally boring and tasteless; fortunately, fate and a lack of funds and skill redeem her by making her seem cheap as well. this film is hilarious and it may well be the last really funny-bad film ever made.<br /><br />i first saw this in a theater, may god forgive me; i was laughing so hard i was rolling off my seat, and so too with most of the rest of the audience.<br /><br />it's clear that Derek and her husband-promoter, conceived of this film as, partly, a satire; unfortunately, the dereks clearly lacked any of the necessary resources to pull that off; consequently, the 'satirical' element comes off as some school-girl's impression of some gay young man's impression of frank gorshin's impression of the riddler in batman trying to pretend he's robin - it doesn't fly over our heads, it has no clue where any human head might be.<br /><br />on the other hand, there are some supposedly serious moments in this film - it is supposed to be an action film, remember - that are so astoundingly cheesy, one wonders if someone squirted spoiled milk in one's eye.<br /><br />as for Derek's infamous tendency to reveal her breasts - i can't imagine a less erotic nudity photographic display, she is so weird looking with those broad shoulders, i can't imagine what any one ever saw in her.<br /><br />as for the plot - such as it is - well, it isn't; Derek chases around Africa, and god alone knows why. then her father - Harris - pretends to act in some maniacal puppet-show, and then of course there's the hunk'o'Tarzan that seems to have wondered in from advertisement without knowing that the subject's changed - probably because he hasn't seen a script - apparently no one has.<br /><br />negligible camera work, shoddy editing - if it weren't for the 3-way with the chimp, the film would be unbearable -<br /><br />as it is, it's a real hoot.",0
"oh god where to begin......bad acting....characters you just don't care about... are they American or British... they seem to think they are in America, because where else is this enormous forest in the midlands...<br /><br />one big fault... they are driving all night through these woods... unless they are going around and around they'd have been in Scotland come the morning.. when the whiny one knocks the poor wandering woman over....<br /><br />and they're mobiles don't work.. so what do they do... split up of course, make it easier to be picked off... so three go looking for a house that might be there in the middle of nowhere and two stay behind to 'care' for the unconscious woman... so what do they do, rather than make her comfortable, cushion her head, cover her up or even move her off the blooming road they just leave her lying on the hard road while they go and make a fire 100 yrds away....and all the time they have a camper van they could put her in...<br /><br />and onto the horny angels that are supposed to have desired human kind so much that they were ejected from heaven to live amongst us...so what do they do? embark on sexual relations with any men they encounter?.........no they bite huge chunks out of them and rip their heads off... i think they are missing the point...<br /><br />these are not gorgeous sexually deprived former angels they are cannabalistic vampires... and as for tom savini saying how breath takingly beautiful they are....well those gals have good bodies but nothing special in the face dept. the lead role was far more pretty than these so called irresistible sirens...<br /><br />rubbish film waste of £2.30 from my local library...",0
"And I repeat, please do not see this movie! This is more than a review. This is a warning. This sets the record for the worst, most effortless comedy ever made. At least with most of the recent comedies nowadays, the gags are crude and flat, but the writers and directors put in at least some sort of effort into making them funny. I never get tired of repeating one of my favorite mottos: Everyone thinks they can do comedy, and only 10 percent of them are right. Comedy is hard! This is not some genre any fool can play around with. I think it's atrocious that the filmmakers are comparing this piece of garbage to ""Kentucky Fried Movie."" Basically, these bozos are comparing their so-called comic talents to those of the brilliant Jim Abrahams and the Zucker Brothers. Come on, I've seen Pauly Shore movies that are 10 times funnier than ""The Underground Comedy Movie."" Here's a sample of the comedy for those curious about seeing this movie: One sketch involves a superhero dressed like a penis named D**kman. The whole joke is that he defeats his enemies by squirting them with semen. That's it. That's the whole joke. Wow. This is enough to make Carrot Top roll his eyes. Another sketch involves a man having sex with a dead person in a porn movie. And in another sketch, there's a bag lady beauty contest, in which we're exposed to the horrible sights of bikini-clad middle-aged women with beer guts and stretch marks. Plus, making fun of the homeless is more sad than funny. It's a step away from mocking the mentally handicapped. The whole movie is supposed to be a satire. I think the filmmakers forgot that a key element of satire...is TRUTH!!! For anybody who actually enjoyed this crap, explain to me what is truthful about ANY of these gags! Some of the sketches might've sounded funny on paper, but anybody who's taken any screen writing classes knows that if a sight gag sounds too funny on paper, it probably won't be funny on screen. If I tell someone about a big, black, muscular gay virgin, who's saving himself for the right man, he or she would probably laugh. But watching the premise played out on screen for about 10 minutes is a complete drag. I hate how whenever people criticize a low-brow comedy like this for not being funny, they're regarded as stuck-up squares. I just saw ""White Chicks"" recently. That's another low-brow, politically incorrect comedy, but I laughed my head off. The most offensive thing about ""The Underground Comedy Movie"" is it's not funny! What the writers and directors don't understand is that merely being filthy and tasteless doesn't work. There has to be more! Just think of the famous scene from ""There's Something About Mary"" (ironically, enough the bozo filmmakers put the Farrellys on their special thanks list). The joke about the semen wasn't just funny because it involved bodily fluids. There was a buildup. Ben Stiller was masturbating in the bathroom to make sure he didn't go out on a date with a ""loaded gun."" Then he looked around to see where all the semen went after it was released. A knock is on the door, and he has to answer it. His date, Mary, is at the door and that's when it's revealed that the semen is hanging off Ben's ear. In this movie, there are multiple gags involving characters squirting loads of semen at people, with no buildup whatsoever. As Jay Leno always says, ""This comedy thing's not so easy, is it?"" Keep that in mind, Vince Offer, 'cause you weren't cut out for this genre!! The only reason people might laugh at these gags is because they want to feel hip. Let's face it, nowadays it's hip to laugh at anything politically incorrect. I know comedy is subjective...but this movie shouldn't be funny to anybody, except maybe the filmmakers themselves. As a side note, the movie had to have been made before Michael Clarke Duncan's fame in movies like ""Armageddon"" and ""The Green Mile."" There can't be any other reason why an actor of his caliber would volunteer to be part of this amateurish freak show. All the others in the cast are either non-actors, has-been actors or B-movie stars. Karen Black made a good impression in ""Five Easy Pieces,"" but I don't think she's done anything of value ever since. Slash was probably drugged into being in this film. Gina Lee Nolin is nothing without ""Baywatch."" Angelyne is the film's biggest star (keeping in mind Duncan wasn't famous at the time), and there are still probably a ton of people who haven't heard of her--for good reason. Usually, I'm in support of extremely low-budget flicks, but this one deserves to drift into obscurity. I hope to Lord this doesn't become a cult classic! Shouldn't there be a law against distributing crap like this?",0
"Well, I thoroughly enjoyed this movie. It was funny and sad and yes, the guy Andie MacDowell shagged was hot. Interesting, realistic characters and plots as well as beautiful scenery. I think my Mum would like it. I still think they should have been allowed to call it the Sad F**kers Club though...",1
"""Written on the Wind"" is a Douglas Sirk's melodrama. Douglas Sirk was rediscovered by the ""Cahiers du Cinema"", Fassbinder etc.. that hailed him as a master director - I think that it is because of the sophistication of his cinematography - ""Written on the Wind"" offers luscious color images and gorgeous decors. But I ask myself: Is this enough to carry a film? The acting in ""Written on the Wind"" ranges from weak to fair (excepting Robert Stack - he is convincing as the weak & spoiled playboy). Lauren Bacall, normally a powerful presence in the screen, is miscast in this film. Dorothy Malone as the seductress, the care-free ""femme fatale"" is OK, but she lacks the strength for the role. Rock Hudson is efficient but vapid .<br /><br />The plot has very interesting ingredients. The main characters are: <br /><br />A rigid patriarch <br /><br />his alcoholic son Kyle (Robert Stack) (never loved by the disappointed father) <br /><br />his frustrated and nymphomaniac daughter Marylee (Dorothy Malone)<br /><br />Lucy (Lauren Bacall) - a woman of principles, formerly a secretary and now married to Kyle <br /><br />Mitch (Rock Hudson) - brought up together with Kyle and loved by the patriarch. <br /><br />Secrets beyond the door, a love triangle, frustration, fistfights, laughter, death etc. - well, when I read the story summary on the back cover of the DVD I thought that I was in for a treat. My mistake! Why? I'll try to explain: ""Written on the Wind"" takes itself seriously and tries to tell a dramatic story. As I said before the acting, in general, is not good enough - the intensity is lacking. There are many strong scenes in the story, but the actors just do an efficient job. I think that maybe with Italian or Spanish actors those scenes would have been explored fully - they would end (for us) in an explosion of laughter or tears .<br /><br />What remains to us is the beautiful cinematography of Douglas Sirk. For me this is not enough. If you want to enjoy a good melodrama, see ""Aventurera"".",1
"Why am I so convinced there's actually another film version of this novel out there somewhere? I saw the film again this year as I am teaching the novel and find the changes in the film annoying - there is no appearance of the little boy in the novel and the ending has been changed. They kill him off in the film but the whole point is that he is haunted by the events at Eel Marsh House for many years but does remarry and eventually put the events behind him. Mr. Bentley is a far more sympathetic character in the novel, the scene in the film where Kipps sets fire to the office is plain daft, and the constant appearance of the toy soldier to signify the presence of the child is genuinely creepy but pointless - Kipps is haunted by the woman seeking revenge, not the child. I am sure I've seen a film which is better and closer to the novel and actually scarier. Have I just imagined this?",1
